#	January						February						March						     April						May						June						July						August 						  September						   October						   November						   December					
#	2009	2010	2011	2012	2013	2014	2009	2010	2011	2012	2013	2014	2009	2010	2011	2012	2013	2014	2009	2010	2011	2012	2013	2014	2009	2010	2011	2012	2013	2014	2009	2010	2011	2012	2013	2014	2009	2010	2011	2012	2013	2014	2009	2010	2011	2012	2013	2014	2009	2010	2011	2012	2013	2014	2009	2010	2011	2012	2013	2014	2009	2010	2011	2012	2013	2014	2009	2010	2011	2012	2013	2014
Uttar Pradesh West 	3.3	3	0.8	20.9	21.1	48.4	4.7	13.3	15.3	0.5	68.6	29.5	1.7	0.4	4.5	2.5	3.6	23.1	8.5	0.3	4.4	6.5	1.5	5.4	14.2	8.7	26.9	0.4	2.1	11.1	14	12.7	168.6	6.8	189	21.8	123.9	272.5	232.3	205.9	236	153.1	186.2	238.6	227.2	233.8	282.6	80.4	118.2	248.4	96	101.6	51.1	84	59.8	2.6	0	0.6	59.7	14.3	14.6	14.8	0	0.1	1.7	0	3.3	3.4	0	3.1	9	15.9
Uttaranchal 	3.5	8.7	26.2	53.4	73	45.9	23.1	53.1	73.3	13.4	188.3	99.9	2.3	4.3	20	30.8	22	68.4	21.6	12.9	35	46.6	24.7	37.6	30.3	60.4	89	10.7	18.2	52.9	68.3	109.2	262.9	48	488.9	62.9	320.4	538.8	455.4	389.8	413.4	462.7	313.5	515.7	564.2	461.2	359.4	264.2	195.9	522.3	171.8	223.3	111.3	107.9	87.2	12	6	8.8	29.1	40.8	7.7	5.1	2.1	4.6	3.2	0	2.2	21.8	2.3	19.2	3.8	44.3
Haryana,Chandigarh & Delhi	4.1	4.8	0.6	4.6	21.1	13	7.1	10.5	20.8	0.1	52.1	17.3	6.3	0.6	3.9	0.3	5.3	26.7	13	0.2	5.3	13.6	3.3	7.5	9.4	2.4	23	3.6	1.4	20.3	14.6	19.9	73.7	4.4	61.9	25.9	78.7	176.4	77.1	57.9	96.8	72.4	56.2	183.5	112.3	163.5	161.8	34.9	157.5	185.7	116.1	57.1	42.8	67.2	0.9	1.6	0	4	11	10.5	2.4	2.5	0	0.6	1.7	0.2	0.2	10	0.2	3.9	2.1	9.6
Punjab	10.4	2.7	3.6	35.8	9.3	21.8	17.1	12.3	33	2.9	50.1	20.1	10.7	0.5	6.7	1.9	11.6	30.3	21.3	0.3	12.2	20.2	3.4	24.5	4.4	3.5	14.5	0.8	3.6	20.8	10.2	34.5	98.8	9.6	120.3	20.6	166.7	208.6	85	67.7	117.9	76.3	82.4	121.3	161.3	105.1	217.1	41.9	71.8	94.6	114.3	83.5	24.4	105.8	2.7	5.8	0.6	2.8	16.2	6	6.1	0.4	0.2	0.4	6.1	0.7	0	16.6	3.4	8.2	6.6	14.1
Himachal Pradesh	48.8	18.2	35.1	112.1	75.6	66.3	45.2	85.6	98.5	66.4	174.2	118.6	30.3	31.8	61	43.2	75.1	118.4	51.8	47.2	59.5	64.1	25	55.8	50.2	79.4	47.1	11.5	31.3	64.7	37.2	125.8	141.6	25.5	240.7	54.4	156.6	269.8	164.9	207.1	219.7	214.4	126.7	284.3	321.5	311.6	245.9	167.8	187	195.2	104.8	152.1	67.9	86.5	12.3	24.1	7.6	2.9	20.5	18.1	46	9.1	0.6	6.7	15.8	3.7	13.6	57.4	9.6	31.8	25.4	51.2
Jammu & Kashmir	121.5	33.6	39.9	120.2	71.6	105.4	115.6	154.1	188.9	116.7	185.4	89.6	60.6	41	130	53.3	58.6	214.5	104.5	86.3	121.9	112.5	66.5	106.7	58	167.6	47.8	60.1	64.3	73.9	59.1	91.9	100.4	42.9	112.7	35.5	135	231.5	123.2	121	175.3	100.5	95.5	256.5	188.6	256.4	306.2	134.6	48.8	93.8	108.4	138.5	57.7	362.8	7.5	36.8	26.2	14.9	48.2	32.2	50.2	12.3	15.5	12.7	18.8	19.7	16.3	52.2	31.3	67.5	28.4	3.2
Rajasthan West	1.5	1.1	0	0.3	8.6	0.8	2.7	1.3	12.8	0	21.8	2.2	4.9	0.3	1.4	0	4.2	4.7	0.8	0.5	2.4	8.5	3.1	8.4	3.7	1.8	8.7	11.3	1.7	23	21.9	48.4	26.1	6.2	37.6	13.8	89.5	127.6	93	39.3	104.5	94.3	31.8	161.7	165.9	159.7	138.2	69.6	9.6	101.9	116.3	89.9	58.7	84.9	0.1	0.6	0.1	1.6	10.1	0.5	0	24.1	0	0	1	0.2	0.1	3.9	0	1.5	0	0
Rajasthan East	0.1	1.7	0	1.9	1.4	28.3	0	1.4	13	0	21.7	10	1.6	0.1	0.5	0	0.4	6.5	0.2	0.3	0.9	4.2	3.2	7.3	2.5	0.3	5.4	12.8	1	8.4	37.2	28.1	151.5	14.9	90.4	23.6	207.2	202.7	197	169.5	318.3	196.9	133.1	284.1	310.8	363.9	278.4	261	52.7	144.6	170	128.3	87.9	136.7	14.7	0.3	0	0.3	30.5	3.2	10.9	75.1	0	0	1.3	0	0.7	2.6	0	0	0.3	1.1
Madhya Pradesh West	5.1	1.2	0	6.7	1.7	25.6	0	4.7	1.5	0.4	31.1	34.4	0.5	0.7	0.7	0	8.5	4.6	0.8	0	0.9	1	2.8	1.4	6.3	0.2	1.8	4.2	0.4	1.4	51.7	60.5	223.9	40.5	263.7	30.6	318.7	258	309.9	407.4	485.1	337.4	164.7	298.6	348	353.4	432.6	211	122.3	135.1	175.5	195.2	98.9	192.6	60.4	11.1	0.1	3.6	68.7	7	53.1	46.8	0	0	0.3	3	13.6	1	0	0	2.4	15.8
Madhya Pradesh East 	13.2	2.4	0.1	48.8	2	32.1	0.3	8.4	2	1.3	43.4	49.7	1.8	1	0.9	1	14.1	17.8	2.8	0.3	8.9	1.5	9.5	5.1	4.7	3.3	7.7	1.7	0.3	2.5	35.8	58.8	316.1	63.7	311.9	91.8	337.9	366.5	317.7	398	456.2	283.4	183.5	279.5	310.9	383.4	480.8	231.8	181	215.1	254.8	176.7	78	139.6	61.8	17.4	1.6	8.9	124.2	56.4	78.1	11.4	0	7.8	0.5	1.9	9.6	2.2	0	4.1	1	12.9
